id,hadith_id,source,chapter_no,hadith_no,chapter,chain_indx,text_ar,text_en
4247,64, Sahih Bukhari ,64, 4247 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"30343, 20005, 11015, 11035, 19","أخبرنا صدقة بن الفضل، أخبرنا ابن عيينة، حدثنا أيوب، عن محمد بن سيرين، عن أنس بن مالك  رضى الله عنه  قال صبحنا خيبر بكرة، فخرج أهلها بالمساحي، فلما بصروا بالنبي صلى الله عليه وسلم قالوا محمد والله، محمد والخميس‏.‏ فقال النبي صلى الله عليه وسلم ‏""‏ الله أكبر خربت خيبر، إنا إذا نزلنا بساحة قوم فساء صباح المنذرين ‏""‏‏.‏ فأصبنا من لحوم الحمر فنادى منادي النبي صلى الله عليه وسلم إن الله ورسوله ينهيانكم عن لحوم الحمر، فإنها رجس‏.‏",
4253,64, Sahih Bukhari ,64, 4253 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20238, 20475, 11013, 11002, 11519, 13",وقال شبيب عن يونس، عن ابن شهاب، أخبرني ابن المسيب، وعبد الرحمن بن عبد الله بن كعب، أن أبا هريرة، قال شهدنا مع النبي صلى الله عليه وسلم حنينا‏.‏ وقال ابن المبارك عن يونس عن الزهري عن سعيد عن النبي صلى الله عليه وسلم‏.‏ تابعه صالح عن الزهري‏.‏ وقال الزبيدي أخبرني الزهري أن عبد الرحمن بن كعب أخبره أن عبيد الله بن كعب قال أخبرني من شهد مع النبي صلى الله عليه وسلم خيبر‏.‏ قال الزهري وأخبرني عبيد الله بن عبد الله وسعيد عن النبي صلى الله عليه وسلم‏.‏,
4278,64, Sahih Bukhari ,64, 4278 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,1820,قال أبو بردة قالت أسماء فلقد رأيت أبا موسى وإنه ليستعيد هذا الحديث مني‏.‏,
4279,64, Sahih Bukhari ,64, 4279 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"1820, 30170","قال أبو بردة عن أبي موسى، قال النبي صلى الله عليه وسلم ‏""‏ إني لأعرف أصوات رفقة الأشعريين بالقرآن، حين يدخلون بالليل، وأعرف منازلهم من أصواتهم بالقرآن بالليل، وإن كنت لم أر منازلهم حين نزلوا بالنهار، ومنهم حكيم، إذا لقي الخيل  أو قال العدو  قال لهم إن أصحابي يأمرونكم أن تنظروهم ‏""‏‏.‏",
4285,64, Sahih Bukhari ,64, 4285 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20459, 11013, 25221","ويذكر عن الزبيدي، عن الزهري، قال أخبرني عنبسة بن سعيد، أنه سمع أبا هريرة، يخبر سعيد بن العاصي قال بعث رسول الله صلى الله عليه وسلم أبان على سرية من المدينة قبل نجد، قال أبو هريرة فقدم أبان وأصحابه على النبي صلى الله عليه وسلم بخيبر، بعد ما افتتحها، وإن حزم خيلهم لليف، قال أبو هريرة قلت يا رسول الله، لا تقسم لهم‏.‏ قال أبان وأنت بهذا يا وبر تحدر من رأس ضأن‏.‏ فقال النبي صلى الله عليه وسلم ‏""‏ يا أبان اجلس ‏""‏ فلم يقسم لهم‏.‏",
4291,64, Sahih Bukhari ,64, 4291 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20167, 11168, 38, 13",وقال عبد العزيز بن محمد عن عبد المجيد، عن سعيد، أن أبا سعيد، وأبا، هريرة حدثاه أن النبي صلى الله عليه وسلم بعث أخا بني عدي من الأنصار إلى خيبر فأمره عليها‏.‏,
4304,64, Sahih Bukhari ,64, 4304 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"11254, 19897, 11029, 11028, 17",وزاد ابن إسحاق حدثني ابن أبي نجيح، وأبان بن صالح، عن عطاء، ومجاهد، عن ابن عباس، قال تزوج النبي صلى الله عليه وسلم ميمونة في عمرة القضاء‏.‏,
4306,64, Sahih Bukhari ,64, 4306 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20182, 11184, 11014, 18","أخبرنا أحمد بن أبي بكر، حدثنا مغيرة بن عبد الرحمن، عن عبد الله بن سعيد، عن نافع، عن عبد الله بن عمر  رضى الله عنهما  قال أمر رسول الله صلى الله عليه وسلم في غزوة موتة زيد بن حارثة، فقال رسول الله صلى الله عليه وسلم ‏""‏ إن قتل زيد فجعفر، وإن قتل جعفر فعبد الله بن رواحة ‏""‏‏.‏ قال عبد الله كنت فيهم في تلك الغزوة فالتمسنا جعفر بن أبي طالب، فوجدناه في القتلى، ووجدنا ما في جسده بضعا وتسعين من طعنة ورمية‏.‏",
4316,64, Sahih Bukhari ,64, 4316 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"30204, 20317, 11450, 237",وقال عمر بن حفص بن غياث حدثنا أبي، عن يزيد بن أبي عبيد، قال سمعت سلمة، يقول غزوت مع النبي صلى الله عليه وسلم سبع غزوات، وخرجت فيما يبعث من البعث تسع غزوات، علينا مرة أبو بكر، ومرة أسامة‏.‏,
4323,64, Sahih Bukhari ,64, 4323 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20121, 20115, 11015, 11023, 17",وقال عبد الرزاق أخبرنا معمر، عن أيوب، عن عكرمة، عن ابن عباس  رضى الله عنهما  خرج النبي صلى الله عليه وسلم عام الفتح‏.‏ وقال حماد بن زيد عن أيوب عن عكرمة عن ابن عباس عن النبي صلى الله عليه وسلم‏.‏,
4334,64, Sahih Bukhari ,64, 4334 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20023, 20475, 11014, 18",وقال الليث حدثني يونس، قال أخبرني نافع، عن عبد الله بن عمر  رضى الله عنهما  أن رسول الله صلى الله عليه وسلم أقبل يوم الفتح من أعلى مكة على راحلته، مردفا أسامة بن زيد ومعه بلال ومعه عثمان بن طلحة، من الحجبة حتى أناخ في المسجد، فأمره أن يأتي بمفتاح البيت، فدخل رسول الله صلى الله عليه وسلم ومعه أسامة بن زيد وبلال وعثمان بن طلحة، فمكث فيه نهارا طويلا ثم خرج، فاستبق الناس، فكان عبد الله بن عمر أول من دخل، فوجد بلالا وراء الباب قائما، فسأله أين صلى رسول الله صلى الله عليه وسلم فأشار له إلى المكان الذي صلى فيه‏.‏ قال عبد الله فنسيت أن أسأله كم صلى من سجدة,
4338,64, Sahih Bukhari ,64, 4338 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"30160, 20278, 20020, 11067, 11392, 11018, 53","حدثني محمد بن بشار، حدثنا غندر، حدثنا شعبة، عن منصور، عن أبي الضحى، عن مسروق، عن عائشة  رضى الله عنها  قالت كان النبي صلى الله عليه وسلم يقول في ركوعه وسجوده ‏""‏ سبحانك اللهم، ربنا وبحمدك، اللهم اغفر لي ‏""‏‏.‏",
4345,64, Sahih Bukhari ,64, 4345 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20023, 20475, 11013, 5003",وقال الليث حدثني يونس، عن ابن شهاب، أخبرني عبد الله بن ثعلبة بن صعير، وكان النبي، صلى الله عليه وسلم قد مسح وجهه عام الفتح‏.‏,
4351,64, Sahih Bukhari ,64, 4351 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,,فلقيت أبا معبد بعد وكان أكبرهما فسألته فقال صدق مجاشع‏.‏,
4353,64, Sahih Bukhari ,64, 4353 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20423, 11113",فلقيت أبا معبد فسألته فقال صدق مجاشع‏.‏ وقال خالد عن أبي عثمان عن مجاشع أنه جاء بأخيه مجالد‏.‏,
4355,64, Sahih Bukhari ,64, 4355 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20291, 20020, 11419, 11028",وقال النضر أخبرنا شعبة، أخبرنا أبو بشر، سمعت مجاهدا، قلت لابن عمر فقال لا هجرة اليوم، أو بعد رسول الله صلى الله عليه وسلم مثله‏.‏,
4371,64, Sahih Bukhari ,64, 4371 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"11080, 9, 3229",وقال هشام وأخبرنا معمر، عن عاصم، عن أبي العالية، أو أبي عثمان النهدي قال سمعت سعدا، وأبا، بكرة عن النبي صلى الله عليه وسلم‏.‏ قال عاصم قلت لقد شهد عندك رجلان حسبك بهما‏.‏ قال أجل أما أحدهما فأول من رمى بسهم في سبيل الله، وأما الآخر فنزل إلى النبي صلى الله عليه وسلم ثالث ثلاثة وعشرين من الطائف‏.‏,
4388,64, Sahih Bukhari ,64, 4388 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20020, 11168, 11212",وقال وكيع والنضر وأبو داود عن شعبة، عن سعيد، عن أبيه، عن جده، عن النبي صلى الله عليه وسلم‏.‏ رواه جرير بن عبد الحميد عن الشيباني عن أبي بردة‏.‏,
4396,64, Sahih Bukhari ,64, 4396 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"11070, 11029","زاد محمد بن بكر عن ابن جريج، قال عطاء قال جابر فقدم علي بن أبي طالب رضى الله عنه بسعايته، قال له النبي صلى الله عليه وسلم ‏""‏ بم أهللت يا علي ‏""‏‏.‏ قال بما أهل به النبي صلى الله عليه وسلم قال ‏""‏ فأهد وامكث حراما كما أنت ‏""‏‏.‏ قال وأهدى له علي هديا‏.‏",
4432,64, Sahih Bukhari ,64, 4432 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20278, 20020, 20160, 11161, 13",وقال غندر عن شعبة، عن سليمان، سمعت ذكوان، عن أبي هريرة، عن النبي صلى الله عليه وسلم‏.‏,
4472,64, Sahih Bukhari ,64, 4472 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20475, 11013, 10511, 53","وقال يونس عن الزهري، قال عروة قالت عائشة  رضى الله عنها  كان النبي صلى الله عليه وسلم يقول في مرضه الذي مات فيه ‏""‏ يا عائشة ما أزال أجد ألم الطعام الذي أكلت بخيبر، فهذا أوان وجدت انقطاع أبهري من ذلك السم ‏""‏‏.‏",
4487,64, Sahih Bukhari ,64, 4487 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"11004, 53, 17","وأخبرني عبيد الله بن عبد الله بن عتبة، أن عائشة، وعبد الله بن عباس، رضى الله عنهم قالا لما نزل برسول الله صلى الله عليه وسلم طفق يطرح خميصة له على وجهه، فإذا اغتم كشفها عن وجهه وهو كذلك يقول ‏""‏ لعنة الله على اليهود والنصارى، اتخذوا قبور أنبيائهم مساجد ‏""‏‏.‏ يحذر ما صنعوا‏.‏",
4488,64, Sahih Bukhari ,64, 4488 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"11201, 53",أخبرني عبيد الله، أن عائشة، قالت لقد راجعت رسول الله صلى الله عليه وسلم في ذلك، وما حملني على كثرة مراجعته إلا أنه لم يقع في قلبي أن يحب الناس بعده رجلا قام مقامه أبدا، ولا كنت أرى أنه لن يقوم أحد مقامه إلا تشاءم الناس به، فأردت أن يعدل ذلك رسول الله صلى الله عليه وسلم عن أبي بكر‏.‏ رواه ابن عمر وأبو موسى وابن عباس  رضى الله عنهم  عن النبي صلى الله عليه وسلم‏.‏,
4489,64, Sahih Bukhari ,64, 4489 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"30355, 20023, 11234, 10530, 10535, 53",حدثنا عبد الله بن يوسف، حدثنا الليث، قال حدثني ابن الهاد، عن عبد الرحمن بن القاسم، عن أبيه، عن عائشة، قالت مات النبي صلى الله عليه وسلم وإنه لبين حاقنتي وذاقنتي، فلا أكره شدة الموت لأحد أبدا بعد النبي صلى الله عليه وسلم‏.‏,
4524,65, Sahih Bukhari ,65, 4524 ,Prophetic Commentary on the Qur'an (Tafseer of the Prophet (pbuh)) - كتاب التفسير,"30232, 20379, 11279, 19",وقال ابن أبي مريم أخبرنا يحيى بن أيوب، حدثني حميد، سمعت أنسا، عن عمر‏.‏,
4585,65, Sahih Bukhari ,65, 4585 ,Prophetic Commentary on the Qur'an (Tafseer of the Prophet (pbuh)) - كتاب التفسير,"30388, 20005, 11067, 11060, 11392, 11018, 53",وقال لنا محمد بن يوسف عن سفيان، عن منصور، والأعمش، عن أبي الضحى، عن مسروق، عن عائشة، قالت لما أنزلت الآيات من آخر سورة البقرة قام رسول الله صلى الله عليه وسلم فقرأهن علينا، ثم حرم التجارة في الخمر‏.‏,
4667,65, Sahih Bukhari ,65, 4667 ,Prophetic Commentary on the Qur'an (Tafseer of the Prophet (pbuh)) - كتاب التفسير,"30330, 20428, 11013, 11168, 13",وقال أبو اليمان أخبرنا شعيب، عن الزهري، سمعت سعيدا، قال يخبره بهذا قال وقال أبو هريرة سمعت النبي صلى الله عليه وسلم نحوه‏.‏ ورواه ابن الهاد عن ابن شهاب عن سعيد عن أبي هريرة  رضى الله عنه  سمعت النبي صلى الله عليه وسلم‏.‏,
4678,65, Sahih Bukhari ,65, 4678 ,Prophetic Commentary on the Qur'an (Tafseer of the Prophet (pbuh)) - كتاب التفسير,"20241, 11703, 34",وقال أبو عاصم حدثنا عبد الحميد، حدثنا يزيد، كتب إلى عطاء سمعت جابرا، عن النبي صلى الله عليه وسلم‏.‏,
4690,65, Sahih Bukhari ,65, 4690 ,Prophetic Commentary on the Qur'an (Tafseer of the Prophet (pbuh)) - كتاب التفسير,"30272, 30252, 20468, 11419, 11050",حدثني محمد بن عبد الرحيم، حدثنا سعيد بن سليمان، أخبرنا هشيم، أخبرنا أبو بشر، عن سعيد بن جبير، قال قلت لابن عباس  رضى الله عنهما  سورة الأنفال قال نزلت في بدر‏.‏ الشوكة الحد ‏{‏مردفين‏}‏ فوجا بعد فوج، ردفني وأردفني جاء بعدي ‏{‏ذوقوا‏}‏ باشروا وجربوا وليس هذا من ذوق الفم ‏{‏فيركمه‏}‏ يجمعه‏.‏ ‏{‏شرد‏}‏ فرق ‏{‏وإن جنحوا‏}‏ طلبوا ‏{‏يثخن‏}‏ يغلب‏.‏ وقال مجاهد ‏{‏مكاء‏}‏ إدخال أصابعهم في أفواههم و‏{‏تصدية‏}‏ الصفير ‏{‏ليثبتوك‏}‏ ليحبسوك‏.‏,
4693,65, Sahih Bukhari ,65, 4693 ,Prophetic Commentary on the Qur'an (Tafseer of the Prophet (pbuh)) - كتاب التفسير,"32, 20020, 11159",وقال معاذ حدثنا شعبة، عن خبيب، سمع حفصا، سمع أبا سعيد، رجلا من أصحاب النبي صلى الله عليه وسلم بهذا، وقال هي ‏{‏الحمد لله رب العالمين‏}‏ السبع المثاني‏.‏,
4707,65, Sahih Bukhari ,65, 4707 ,Prophetic Commentary on the Qur'an (Tafseer of the Prophet (pbuh)) - كتاب التفسير,"30120, 20238, 20475, 11013",وقال أحمد بن شبيب بن سعيد حدثنا أبي، عن يونس، عن ابن شهاب، عن خالد بن أسلم، قال خرجنا مع عبد الله بن عمر فقال هذا قبل أن تنزل، الزكاة، فلما أنزلت جعلها الله طهرا للأموال‏.‏,
4805,65, Sahih Bukhari ,65, 4805 ,Prophetic Commentary on the Qur'an (Tafseer of the Prophet (pbuh)) - كتاب التفسير,"30120, 20238, 20475, 11013, 10511, 53",وقال أحمد بن شبيب حدثنا أبي، عن يونس، قال ابن شهاب عن عروة، عن عائشة  رضى الله عنها  قالت يرحم الله نساء المهاجرات الأول، لما أنزل الله ‏{‏وليضربن بخمرهن على جيوبهن‏}‏ شققن مروطهن فاختمرن به‏.‏,
4891,65, Sahih Bukhari ,65, 4891 ,Prophetic Commentary on the Qur'an (Tafseer of the Prophet (pbuh)) - كتاب التفسير,11602,وعن عقبة بن صهبان، قال سمعت عبد الله بن المغفل المزني، في البول في المغتسل‏.‏,
